genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Abditibacterium	40	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	771	0	0	0	418	48	0	445	1444	0	0	0	0	0	0	759	0	1141	0	0	0	0	0	0	0	0	0
Abyssibacter	0	0	0	364	0	0	0	392	42	0	642	0	0	0	0	0	72	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	444	0	0	0	409	0
Acaryochloris	0	0	2460	33	305	0	4500	1415	48	0	627	135	0	8521	0	820	34409	0	116	0	598	0	0	2586	0	0	0	797	0	767	0	629	0	0	335	739	0	466	522	423	0	0	0	0	537	69	0	0	1617	392
Acerihabitans	66	0	0	0	0	0	0	0	0	0	560	0	0	73	0	0	60	0	0	40	0	975	496	0	0	379	0	0	0	0	0	0	401	0	0	0	0	673	0	454	176	0	0	0	824	0	0	550	355	177
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0
Acetobacter	1081	15850	24073	6091	4270	9760	9154	14446	4634	2996	5927	3687	7962	2206	4877	11293	3837	2275	1626	1067	8107	12385	7963	14862	2566	5741	9754	5833	2435	6743	5130	6581	7116	828	11903	2684	7237	8067	2835	12074	4201	7529	7306	14029	23811	2148	2772	10636	6599	6597
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromatium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	1939	15297	9778	11698	1444	29466	8094	28197	12002	5756	27327	2125	7062	6519	7745	12152	7354	1275	1739	3161	12442	27069	18838	8161	1985	13201	24698	14529	1183	5470	34397	82369	19741	1533	13692	1048	9510	8287	12906	33568	12336	6778	5495	28487	35663	1995	1631	18652	16889	7370
Acidibrevibacterium	103	434	4630	1152	332	1506	100	2102	610	50	719	0	0	0	329	1049	1273	0	0	60	354	681	868	10435	41	409	1567	727	102	0	584	424	1491	70	442	140	560	899	418	4099	0	74	552	557	7579	191	0	909	1102	0
Acidiferrobacter	0	0	0	398	0	1582	0	1068	502	0	588	0	0	0	0	48	499	0	0	0	321	0	386	336	0	0	0	0	0	0	351	0	564	0	0	0	0	0	0	602	0	0	0	0	1802	40	0	0	371	59
Acidihalobacter	73	0	640	925	167	1643	102	2140	955	48	1391	84	549	435	443	1077	1005	0	160	103	1384	844	788	567	148	618	808	1350	39	407	709	534	867	51	1039	0	762	736	0	1716	746	548	0	1145	2858	209	125	628	976	775
Acidimangrovimonas	55	799	0	39	0	0	458	1129	50	0	665	230	567	61	467	964	502	55	86	123	836	0	0	0	245	473	0	1516	149	573	514	1071	598	56	4093	0	1263	896	50	438	700	660	593	346	574	120	0	1418	433	393
