genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Abditibacterium	0,001068	0	0	0,001091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001699	0	0	0	0	0,002496	0	0	0	0,001294	0,001085	0	0,001301	0,0038	0	0	0	0	0	0	0,003831	0	0,00338	0	0	0	0	0	0	0	0	0
Abyssibacter	0	0	0	0,001155	0	0	0	0,001089	0,001133	0	0,00185	0	0	0	0	0	0,001346	0	0	0	0	0	0,001046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001135	0	0	0	0	0,001362	0	0	0	0,002198	0
Acaryochloris	0	0	0,007503	0,001028	0,006467	0	0,014339	0,00425	0,001295	0	0,004416	0,001705	0	0,02855	0	0,001442	0,168406	0	0,002284	0	0,00182	0	0	0,008373	0	0	0	0,002481	0	0,003282	0	0,001692	0	0	0,001061	0,018363	0	0,002702	0,001391	0,001194	0	0	0	0	0,001647	0,001537	0	0	0,018391	0,00126
Acerihabitans	0,001275	0	0	0	0	0	0	0	0	0	0,001614	0	0	0,001246	0	0	0,001122	0	0	0,00139	0	0,002856	0,00165	0	0	0,001182	0	0	0	0	0	0	0,001181	0	0	0	0	0,001933	0	0,00146	0,00168	0	0	0	0,001646	0	0	0,001782	0,001164	0,00312
Acetoanaerobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001024	0	0
Acetobacter	0,022905	0,04381	0,075305	0,043371	0,089052	0,021278	0,035378	0,043532	0,02183	0,024404	0,024617	0,052517	0,038247	0,013831	0,024596	0,034005	0,022012	0,051629	0,033457	0,02678	0,025113	0,037257	0,038218	0,075099	0,05534	0,030878	0,031753	0,018187	0,060852	0,039794	0,04268	0,017566	0,042027	0,023858	0,037495	0,071777	0,047918	0,040432	0,015543	0,035825	0,021888	0,041381	0,044089	0,044015	0,055896	0,058849	0,051957	0,034851	0,030404	0,033009
Acetobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001085	0	0	0	0,001578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002861	0	0	0	0,00119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetonema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromatium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
