order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acholeplasmatales	0	4184	0	0	0	0	0	0	0	4576	0	0	0	4268	433	8375	0	0	0	507	0	0	0	0	0	0	0	0	0	0	600	0	4545	2567	0	0	0	420	0	0	0	7398	389	0	0	0	0	56393	0	0
Acidimicrobiales	5707	20458	0	8675	1321	4593	4344	70697	21745	4962	49068	15001	22019	13420	18234	131197	56133	1777	5364	4206	74522	8936	5471	14765	19565	23174	6344	165052	5025	47903	27399	88778	39010	4300	49091	299	39197	61381	59828	33994	50088	42510	6636	28652	64725	8300	3261	48957	28042	40409
Acidithiobacillales	0	0	0	270	0	0	0	0	325	0	3576	0	0	0	0	0	519	0	0	0	0	0	0	0	0	2648	0	0	0	0	0	0	3033	0	0	0	0	0	0	3234	0	0	0	0	2856	0	0	0	0	0
Acidobacteriales	3984	38575	335275	31674	5023	2521912	20389	45136	25818	11104	23587	2855	4613	82762	6402	32598	60488	600	2735	1497	19934	108469	38568	186464	2073	14912	57658	20643	2551	7546	48210	22083	29717	1905	13370	4220	5251	672619	14736	261298	9350	10318	5138	39233	659605	27362	2018	17046	49148	13276
Actinomycetales	1332	0	0	0	0	0	0	12515	3881	0	8068	2041	0	0	0	14263	8445	2226	1058	851	11469	0	0	4216	2284	4851	0	18566	868	6635	5879	20953	8329	2370	15355	0	14216	10814	16068	4569	10955	5826	5185	4279	8362	1601	0	13152	4548	7595
Aeromonadales	3171	6632	0	4786	283	18567	731	23239	5082	3546	10630	1876	5771	1423	9902	10699	4937	2334	1134	1308	42449	7592	5129	3864	1541	9390	6416	12653	982	4764	7057	6929	14599	3983	87905	282	15826	19013	4513	10300	56762	4302	4347	12191	77242	2274	318	114330	4877	50767
Alteromonadales	4847	22884	19701	25490	3242	42706	12628	49535	25426	8793	37917	5632	21774	12734	21037	39417	24812	2710	5582	4833	48505	26222	21409	13831	4950	37815	26324	33655	2965	14238	27278	33125	26569	2325	63346	1829	17753	26059	12696	44580	23679	22036	12575	30769	66610	6430	3229	40634	28174	35422
Anaerolineales	666	0	0	0	0	0	0	3871	0	0	782	763	0	0	3652	12952	8566	479	0	0	17355	0	0	3950	1524	0	0	11762	0	3573	0	14207	5042	0	4445	0	0	9688	7837	0	9268	598	0	0	3503	1116	0	7786	486	5393
Ardenticatenales	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1574	0	0	0	0
Armatimonadales	3045	5857	0	24680	2163	8984	14385	21488	13466	0	15561	3266	9203	15121	6572	29557	19990	2605	3568	1859	24605	3435	4686	17346	3460	8167	4183	15706	1996	3083	4965	23866	1356	361	0	0	6995	5387	7911	11057	3367	14825	10674	9212	25180	2544	1719	6239	11104	5154
Bacillales	15934	78671	71418	30585	13805	73202	92619	83655	53778	56071	37801	19649	58095	42281	30346	73637	44594	15633	13242	13188	84119	166375	53524	38599	14338	44073	56167	111749	9406	43786	27381	85496	37254	5898	75568	9649	39951	50232	213388	92631	49602	44514	34407	246849	113586	11455	19960	164916	33537	47886
Bacteriovoracales	0	7701	0	3472	0	0	1270	21228	17902	3164	5002	1314	497	0	28267	7296	0	0	480	6960	4604	13186	0	0	807	5792	6158	9548	1882	749	8996	0	9330	3300	0	0	300	0	0	8845	4867	11201	0	3689	14291	0	702	17222	0	5417
Bacteroidales	1949	10011	4365	6639	1207	15561	5944	16004	8808	411	8331	3057	8171	7563	5606	22178	33792	4821	4970	1328	40231	17145	5232	10263	2813	7997	9846	31915	2784	8434	9401	28631	9107	893	13414	366	14357	18676	18911	15234	12794	8917	16485	8597	21019	1894	1191	18245	14143	9673
Bdellovibrionales	2541	17686	22092	55177	6247	10405	28638	79277	66129	14109	52392	4313	37740	6588	37685	57765	28130	602	4528	9972	43597	16243	30757	21158	2752	16240	44162	27207	5138	11984	22692	29295	51529	3926	8931	3079	15347	18230	13749	91769	14533	36082	3888	24237	83086	2243	3755	26564	39037	26117
Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6192	0	0	0	0	0	3922	0	0	0	0	0	0	0
Blastocatellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2838	0	0	0	4975	0	3866	0	0	0	0	0	0	0	0	0
Bradymonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2602	0	0	0	0	3899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4896
Bryobacterales	2047	0	58072	57815	7688	73734	5647	37166	33610	3940	23540	2008	413	10589	5209	32024	52688	1435	1742	456	22240	4925	14856	38817	2814	6550	12717	19494	1303	5255	9756	21889	25035	926	3989	3983	7314	20683	12308	85758	8649	9660	5679	13652	45461	2615	3217	16151	56627	9491
Burkholderiales	659538	7178236	3338246	3810610	509598	11690167	4038573	9183677	5488172	2163888	8663374	1083729	3940688	2271166	6125769	4070184	1931765	863932	724301	1242380	5702239	8850751	7361227	2393455	993898	4671494	10667882	5455484	500453	2561268	5656103	7890119	8805959	767569	5715183	474184	3807958	2836837	2644798	10942843	6972792	3153679	4101332	10782715	10477444	598537	875524	8223659	4378098	2717399
Caldilineales	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	615	0	0	3386	0	0	0	0	0	0	0	0	0	0	0	0	1256	0	0	0	0	0	0	0	0	0
Campylobacterales	379	0	0	3682	0	9128	866	7007	4257	0	3383	0	4632	0	3567	5612	3930	933	473	774	6724	4170	3057	0	0	3646	0	8408	0	0	0	7211	5176	785	121279	0	3345	5714	5641	5934	7085	0	452	3133	9700	455	0	11952	597	4676
