order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acholeplasmatales	0	0,013039	0	0	0	0	0	0	0	0,014108	0	0	0	0,013808	0,00995	0,014729	0	0	0	0,009884	0	0	0	0	0	0	0	0	0	0	0,017163	0	0,013386	0,073058	0	0	0	0,014226	0	0	0	0,032182	0,012856	0	0	0	0	0,18732	0	0
Acidimicrobiales	0,118122	0,055898	0	0,063858	0,034014	0,010268	0,013842	0,207747	0,141638	0,035482	0,338512	0,214855	0,110502	0,058438	0,0684	0,678637	0,243054	0,037793	0,103333	0,112087	0,230074	0,026621	0,036823	0,055037	0,430501	0,113166	0,020671	0,514199	0,127787	0,199899	0,129168	0,236904	0,320104	0,123781	0,154602	0,008852	0,135615	0,30767	0,212511	0,097964	0,240091	0,26778	0,020719	0,089927	0,184059	0,217214	0,066328	0,160089	0,180599	0,193461
Acidithiobacillales	0	0	0	0,008415	0	0	0	0	0,008766	0	0,010304	0	0	0	0	0	0,009705	0	0	0	0	0	0	0	0	0,008261	0	0	0	0	0	0	0,008933	0	0	0	0	0	0	0,009128	0	0	0	0	0,00876	0	0	0	0	0
Acidobacteriales	0,08307	0,117711	1,032679	0,237882	0,101561	5,466358	0,160303	0,133509	0,129307	0,081547	0,106719	0,041596	0,028235	0,31283	0,027891	0,122849	0,488797	0,01201	0,053573	0,037954	0,062082	0,329329	0,237687	0,752507	0,045672	0,07039	0,188435	0,06429	0,06639	0,03517	0,184146	0,058882	0,178267	0,055165	0,041913	0,119226	0,027801	1,952536	0,061542	0,823475	0,045629	0,06271	0,024122	0,123176	1,391706	0,624159	0,045839	0,055737	0,228569	0,070777
Actinomycetales	0,025738	0	0	0	0	0	0	0,036947	0,023774	0	0,048748	0,02906	0	0	0	0,085852	0,046722	0,04745	0,020959	0,021288	0,035565	0	0	0,013651	0,047911	0,0228	0	0,05777	0,021746	0,030581	0,027226	0,055891	0,071303	0,068322	0,048358	0	0,042533	0,056102	0,068291	0,012895	0,049944	0,037569	0,016189	0,013441	0,025649	0,043005	0	0,042868	0,033597	0,042081
Aeromonadales	0,061272	0,018892	0	0,02613	0,009502	0,040153	0,008878	0,071565	0,027707	0,021054	0,048526	0,026495	0,028258	0,024285	0,045806	0,035174	0,034951	0,048755	0,022005	0,032469	0,135357	0,022449	0,028245	0,012511	0,031566	0,038802	0,020908	0,039455	0,024907	0,039231	0,069217	0,018637	0,070483	0,113731	0,277856	0,008349	0,063198	0,141615	0,019299	0,030883	0,301466	0,024002	0,027787	0,038214	0,169506	0,058123	0,010042	0,374154	0,027196	0,79956
Alteromonadales	0,106122	0,065395	0,061	0,144866	0,068886	0,093069	0,064822	0,148446	0,140844	0,060858	0,165618	0,081734	0,112709	0,077019	0,095221	0,148019	0,144566	0,057958	0,109189	0,127025	0,151209	0,077583	0,120148	0,068126	0,115402	0,156452	0,085842	0,105041	0,076012	0,088992	0,134772	0,088424	0,128771	0,066595	0,19892	0,049589	0,104177	0,143092	0,062507	0,133208	0,117144	0,117511	0,051502	0,09652	0,164798	0,163781	0,071437	0,132639	0,157909	0,227362
Anaerolineales	0,012869	0	0	0	0	0	0	0,010756	0	0	0,014772	0,009637	0	0	0,011858	0,044167	0,050378	0,009588	0	0	0,053835	0	0	0,01279	0,034564	0	0	0,036571	0	0,010753	0	0,037808	0,034429	0	0,014074	0	0	0,046451	0,03374	0	0,065254	0,010265	0	0	0,010745	0,028593	0	0,02552	0,008653	0,029167
Ardenticatenales	0,010028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,041543	0	0	0	0
Armatimonadales	0,068768	0,015248	0	0,392881	0,049386	0,019615	0,045837	0,063068	0,061141	0	0,066368	0,051185	0,05784	0,073207	0,021339	0,121756	0,090957	0,058175	0,068419	0,049083	0,0759	0,010513	0,037705	0,064251	0,074553	0,038173	0,01354	0,049084	0,052074	0,009279	0,025479	0,063563	0,026193	0,010758	0	0	0,020928	0,040393	0,034911	0,031207	0,009975	0,07528	0,033327	0,028897	0,063793	0,061446	0,04112	0,020217	0,068625	0,016568
