species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Abditibacterium utsteinense	40	0	234	35	0	0	0	257	0	0	0	0	0	0	0	507	332	0	77	0	299	0	0	771	24	219	0	737	48	0	479	1711	0	0	232	0	0	306	759	0	1141	0	0	0	0	34	0	0	48	0
Abyssibacter profundi	38	0	0	395	0	0	0	631	364	0	687	0	0	0	0	471	297	0	36	0	239	0	305	0	0	305	0	256	0	0	301	283	386	0	0	0	0	21	0	402	0	267	0	0	814	61	0	253	409	276
Acaryochloris marina	0	0	251	0	0	0	446	0	0	0	0	0	0	904	0	0	3547	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	123	0
Acerihabitans arboris	66	291	0	313	0	793	0	0	31	0	560	0	0	73	0	0	60	0	0	40	259	975	529	0	0	415	583	0	0	0	366	0	401	0	217	0	22	673	0	784	176	0	0	0	1067	36	0	550	355	177
Acetobacter aceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	849	0	0	0	227	0
Acetobacter cibinongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter conturbans	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	901	0	0	0	260	0
Acetobacter estunensis	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	531	0	0	0	0	0
Acetobacter fallax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	828	0	0	265	278	0
Acetobacter farinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	0	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter ghanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter indonesiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter malorum	507	9803	16638	988	3678	1062	7366	5379	1507	1175	534	3084	5947	541	1079	6592	513	1904	1078	374	4315	4797	3798	1563	2029	916	3351	2613	1743	5168	798	1605	1247	146	7875	2363	4643	4239	986	1459	1652	5447	2959	9278	1170	1307	2403	3555	331	3533
Acetobacter musti	0	237	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	247	0	0	25	0	818	0	0	213	263	0
Acetobacter nitrogenifigens	0	0	235	0	0	0	0	285	0	0	240	0	0	0	0	0	0	0	0	0	0	352	0	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	954	0	0	221	303	0
Acetobacter oeni	0	370	242	253	0	0	0	0	0	0	242	0	0	0	0	38	0	0	0	0	0	382	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	693	0	0	0	362	0
Acetobacter okinawensis	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter orientalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0
Acetobacter orleanensis	0	0	0	0	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
