species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Abditibacterium utsteinense	0,001068	0	0,000714	0,001091	0	0	0	0,000714	0	0	0	0	0	0	0	0,001601	0,001006	0	0,001699	0	0,00091	0	0	0,002496	0,000713	0,000683	0	0,002294	0,001085	0	0,002274	0,004518	0	0	0,000735	0	0	0,000879	0,003831	0	0,00338	0	0	0	0	0,000758	0	0	0,000855	0
Abyssibacter profundi	0,000734	0	0	0,002121	0	0	0	0,001879	0,002072	0	0,0027	0	0	0	0	0,001495	0,002028	0	0,000794	0	0,000727	0	0,001927	0	0	0,000952	0	0,000803	0	0	0,00088	0,000761	0,001906	0	0	0	0	0,000711	0	0,001135	0	0,00149	0	0	0,002101	0,001636	0	0,00082	0,002198	0,001564
Acaryochloris marina	0	0	0,000766	0	0	0	0,001421	0	0	0	0	0	0	0,002925	0	0	0,017734	0	0	0	0	0	0	0,001324	0	0	0	0	0	0	0	0	0	0	0	0,001349	0	0	0	0	0	0	0	0	0	0	0	0	0,00219	0
Acerihabitans arboris	0,001275	0,000907	0	0,001665	0	0,001727	0	0	0,000836	0	0,001614	0	0	0,001246	0	0	0,001122	0	0	0,00139	0,000831	0,002856	0,002513	0	0	0,00219	0,001901	0	0	0	0,001712	0	0,001181	0	0,000687	0	0,000817	0,001933	0	0,002391	0,00168	0	0	0	0,002391	0,000802	0	0,001782	0,001164	0,00312
Acetobacter aceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001968	0	0	0	0,000745	0
Acetobacter cibinongensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter conturbans	0	0	0	0	0	0	0	0,000745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000756	0	0	0	0	0,002136	0	0	0	0,000853	0
Acetobacter estunensis	0	0	0,000732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0007	0	0	0	0	0,001061	0	0	0	0	0
Acetobacter fallax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001392	0	0,000749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001956	0	0	0,000859	0,000912	0
Acetobacter farinalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000759	0	0,001566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
