genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Aaosphaeria	660	1693	1782	1027	189	6923	1143	627	843	1590	276	786	1446	1546	543	1152	322	350	207	167	1756	2827	828	1236	93	459	2724	3330	283	628	1144	1149	404	122	635	161	909	776	809	1452	1613	517	1100	1157	914	111	108	642	815	341
Absidia	95	593	516	321	83	572	244	413	172	395	0	81	280	515	292	396	284	75	48	81	135	342	229	237	32	256	200	317	63	168	28	0	296	67	0	64	240	172	242	173	71	155	190	496	599	71	62	380	224	156
Acanthothecis	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces	523	32526	674	3973	0	662	946	891	2473	1047	487	381	800	457	7441	651	0	457	0	93	696	4047	581	179	99	2713	2491	683	771	311	235	354	253	124	0	24	1056	0	0	1223	149	2275	828	762	1945	120	100	2516	133	231
Acephala	21042	42366	51375	57726	5659	22033	36175	38618	17600	3222	3062	4875	9177	82161	781	36179	3184	1639	2488	4568	17402	46581	28895	17253	717	5327	31700	877	1761	13320	3875	6267	3354	1691	1909	6233	17629	16039	100	60992	890	8403	4835	24937	42116	3332	5923	2552	33468	7144
Acidomyces	567	6227	6122	2085	535	70948	5635	1639	1933	3696	597	489	3236	2563	2396	2084	227	708	148	314	935	10788	2189	1493	347	1455	9390	13114	951	538	2716	4041	1304	514	2842	520	742	334	539	12389	888	1322	5107	1779	1970	306	329	2842	5818	508
Acremonium	359	1998	1539	1200	223	28261	1562	1056	995	4615	303	145	879	2538	695	745	22	147	88	305	273	3178	808	996	56	767	3443	5990	131	288	1052	765	760	182	276	221	407	256	539	2200	510	244	505	2744	1867	159	91	2721	676	262
Actinomortierella	46	168	457	197	43	0	35	149	0	16	0	95	0	0	0	0	258	52	0	16	0	157	189	195	0	170	183	184	50	0	15	0	286	39	0	65	17	223	24	0	46	0	155	148	389	54	28	244	26	0
Agaricus	31	0	130	225	0	0	0	0	29	0	0	0	0	199	47	168	317	0	0	0	0	0	0	214	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	225	0	0	0	0	0
Agrocybe	55	0	133	275	0	0	0	0	30	0	0	0	21	254	0	63	238	0	0	0	0	0	23	412	0	0	234	0	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	14	0	0	0
Akanthomyces	217	1050	4709	758	173	11990	1114	669	656	2501	75	127	603	1407	922	402	0	66	0	162	163	2023	610	808	0	579	2127	1087	113	45	580	202	482	104	172	207	377	166	0	1456	379	43	358	1437	1068	66	77	885	410	0
Allomyces	29	247	603	264	83	0	185	400	174	25	215	125	227	0	230	339	532	93	30	13	320	185	279	198	54	174	440	355	80	229	28	0	504	82	192	66	182	231	377	363	61	194	199	365	658	58	82	482	41	203
Alternaria	2175	12797	5111	2907	336	11131	3004	2173	2872	5118	1843	1955	3836	4270	7501	2596	932	11473	2193	4284	20595	10072	2312	3152	5773	4514	14369	280958	2755	2913	6226	314888	4242	287	5747	840	20617	2587	49393	3215	37243	3020	80909	3544	3068	349	2248	7433	2842	1663
Amanita	84	634	633	607	87	461	408	366	335	1333	42	93	279	838	284	565	831	92	20	65	0	589	253	1136	32	352	873	252	62	167	220	0	296	76	147	66	195	172	0	338	49	205	403	507	1038	48	55	275	39	239
Amniculicola	894	1784	1975	1200	179	4754	1185	819	965	1414	241	1452	2453	1943	491	2229	468	467	306	200	3765	2510	743	1176	269	1583	2417	3644	217	1004	1547	1063	419	108	633	204	984	962	327	1852	1375	937	1340	1074	1052	116	176	612	1191	1343
Amorphotheca	13534	30776	22384	37592	3384	14025	21822	25764	13152	2527	1731	3556	11003	52908	501	23488	1799	937	1601	3669	10765	36449	17795	11607	509	3619	25555	1113	1239	8830	2793	4925	2038	1213	1340	3621	12290	10242	117	42678	946	5901	3598	16507	28379	2237	3778	1845	21365	4712
Ampelomyces	210	961	767	272	67	1483	1168	1515	338	1100	43	255	515	430	5347	443	280	668	78	99	1825	1207	473	1045	85	484	2731	80653	539	648	1057	5062	251	41	480	67	10171	403	1339	541	1494	285	7924	416	222	81	144	436	289	216
Anaeromyces	0	0	1101	17	29	0	0	0	0	14	0	35	0	0	0	30	0	23	0	0	0	0	0	0	0	0	0	0	15	0	0	0	150	17	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Annulohypoxylon	0	479	295	0	0	355	549	0	0	3644	122	0	0	0	0	50	0	0	0	70	0	0	0	24	0	445	291	0	62	0	642	0	597	136	0	0	13	0	0	0	147	0	286	299	466	0	0	246	0	0
Antarctomyces	47	360	394	227	42	667	0	0	0	0	0	0	246	286	0	242	0	0	0	0	0	533	201	39	0	0	285	0	0	0	0	0	0	0	0	0	34	0	0	308	0	35	0	141	0	0	0	0	78	0
Anthracocystis	69	2556	0	476	29	0	82	151	274	226	0	32	21	138	890	48	0	69	0	24	0	384	17	20	58	261	297	346	90	0	18	173	0	0	0	47	0	0	0	155	0	241	253	193	280	0	32	243	0	0
Antrodiella	0	0	0	258	0	0	0	0	31	0	0	0	0	185	0	167	172	0	0	0	0	0	0	196	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apiotrichum	35	461	447	176	34	642	396	0	0	353	0	27	0	142	405	39	0	144	0	55	0	517	235	26	0	206	515	288	58	0	155	751	0	0	0	0	0	0	0	130	0	0	821	0	255	0	0	411	0	0
Aplosporella	582	1949	2413	1570	201	6755	1455	1002	1075	2778	262	287	1301	2240	314	1793	30	172	112	186	580	8855	842	1552	54	610	3974	1899	183	340	992	1039	551	194	451	228	525	425	30	2260	788	499	1046	1201	1610	182	167	734	1363	195
Apophysomyces	84	520	547	424	100	1070	306	781	307	272	639	40	314	263	194	425	378	86	19	66	376	1099	678	297	56	401	707	394	48	175	480	302	674	90	291	63	248	782	155	790	208	207	229	590	1049	71	67	905	1135	217
Armillaria	0	473	183	376	33	556	251	142	184	205	0	0	0	401	311	77	539	21	24	35	0	345	0	569	0	366	404	0	29	17	0	0	169	31	0	46	0	0	0	163	0	156	33	0	503	0	30	145	164	0
Arthonia	0	0	0	0	0	459	0	0	161	0	0	0	483	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	39	0
Arthothelium	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrinium	159	485	163	383	95	2351	490	444	203	1370	57	0	0	815	0	291	0	20	0	65	0	665	228	42	14	183	721	0	42	29	323	0	204	88	0	28	195	0	0	517	139	0	197	727	673	30	45	178	209	0
Arthrobotrys	203	645	824	739	88	2491	636	579	571	1106	422	104	426	850	0	684	0	18	23	76	158	1390	701	533	0	434	1661	181	57	37	493	235	440	53	0	80	192	0	0	1227	0	170	312	619	772	52	74	351	444	77
Arthroderma	96	236	620	307	34	1221	218	0	274	240	0	28	255	383	0	0	0	0	0	14	0	768	191	285	0	0	691	226	15	0	150	0	36	0	0	57	27	0	0	621	0	41	138	0	0	0	16	0	69	0
