genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Aaosphaeria	0,01548	0,004794	0,005581	0,005974	0,004078	0,015108	0,006554	0,001916	0,003468	0,01066	0,00166	0,012219	0,007789	0,0081	0,003736	0,003208	0,001759	0,007739	0,004029	0,004293	0,00553	0,008376	0,004899	0,009435	0,002078	0,002303	0,008898	0,010338	0,007277	0,003887	0,004962	0,00306	0,00268	0,003549	0,001989	0,004386	0,007775	0,002879	0,003945	0,004455	0,00655	0,004062	0,00517	0,00363	0,002094	0,002627	0,002452	0,002099	0,006537	0,001875
Absidia	0,002242	0,001653	0,001607	0,002166	0,001734	0,001246	0,0011	0,001246	0,000887	0,00199	0	0,001144	0,001209	0,002275	0,001856	0,00117	0,001346	0,001621	0,000946	0,002097	0,000411	0,001017	0,001355	0,00138	0,000553	0,002815	0,000656	0,000988	0,00152	0,000506	0,000801	0	0,001281	0,001941	0	0,001728	0,001469	0,00099	0,001201	0,000488	0,000678	0,000511	0,001252	0,001555	0,001428	0,001879	0,001228	0,001251	0,00136	0,000501
Acanthothecis	0	0	0,000946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00104	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces	0,013128	0,101063	0,002116	0,013894	0	0,001436	0,009349	0,002812	0,009806	0,005335	0,003372	0,005867	0,003446	0,002128	0,040973	0,005637	0	0,009359	0	0,002347	0,002118	0,012228	0,003621	0,001151	0,002231	0,009011	0,008152	0,002114	0,019596	0,00171	0,002613	0,000952	0,001105	0,003569	0	0,000711	0,00374	0	0	0,003452	0,000441	0,008456	0,003633	0,002389	0,003886	0,002837	0,001535	0,008243	0,000436	0,000743
Acephala	0,516099	0,110645	0,161116	0,22828	0,140409	0,048115	0,122527	0,114695	0,062412	0,018037	0,011239	0,070556	0,08689	0,425998	0,005555	0,069755	0,028684	0,036767	0,049247	0,115529	0,054555	0,134455	0,190494	0,07504	0,018283	0,024857	0,103338	0,002732	0,043431	0,130897	0,019597	0,016856	0,02877	0,048879	0,005957	0,157402	0,123718	0,063479	0,002254	0,190147	0,003519	0,098382	0,016054	0,07818	0,098549	0,076627	0,143964	0,008307	0,142827	0,029536
Acidomyces	0,013106	0,017952	0,019046	0,012186	0,010525	0,154965	0,031134	0,005066	0,0078	0,024544	0,005579	0,007457	0,01177	0,014806	0,013207	0,010157	0,001221	0,015821	0,002932	0,007814	0,002876	0,032618	0,015202	0,014698	0,006688	0,011111	0,030698	0,04062	0,024972	0,003991	0,010995	0,010732	0,009718	0,015063	0,008897	0,014335	0,006797	0,000959	0,004655	0,038064	0,004494	0,007271	0,026779	0,005581	0,004348	0,007238	0,006786	0,009312	0,024909	0,003478
Acremonium	0,008792	0,005684	0,004853	0,006803	0,004948	0,061666	0,012189	0,003187	0,004319	0,025804	0,003259	0,00217	0,005023	0,015749	0,002888	0,002063	0,000411	0,003174	0,001792	0,008005	0,000852	0,009405	0,004879	0,011679	0,001203	0,00294	0,011215	0,018605	0,00319	0,002165	0,004847	0,002033	0,003221	0,005179	0,000874	0,006198	0,004257	0,000735	0,002013	0,006777	0,002551	0,001956	0,002026	0,008606	0,00427	0,003799	0,002159	0,008842	0,00428	0,001433
Actinomortierella	0,001058	0,000437	0,001426	0,001325	0,000664	0	0,000425	0,000414	0	0,000524	0	0,001354	0	0	0	0	0,000782	0,001152	0	0,000556	0	0,00048	0,001199	0,001122	0	0,001103	0,0006	0,000577	0,001227	0	0,000429	0	0,001464	0,001162	0	0,001731	0,000631	0,001447	0,000541	0	0,000439	0	0,000903	0,000465	0,000956	0,001398	0,00043	0,00081	0,000463	0
Agaricus	0,000828	0	0,000414	0,000714	0	0	0	0	0,000782	0	0	0	0	0,000644	0,00108	0,003907	0,00096	0	0	0	0	0	0	0,001061	0	0	0,000705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000428	0	0,00045	0	0	0	0	0
Agrocybe	0,001284	0	0,000424	0,001264	0	0	0	0	0,000809	0	0	0	0,00046	0,000822	0	0,001465	0,000721	0	0	0	0	0	0,000602	0,001722	0	0	0,000768	0	0	0,027278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000491	0	0,000442	0	0	0
Akanthomyces	0,005346	0,003002	0,01448	0,003804	0,003559	0,026144	0,00725	0,002009	0,002971	0,013884	0,001417	0,001895	0,002897	0,007913	0,010256	0,000707	0	0,001437	0	0,004318	0,000496	0,005969	0,003855	0,007231	0	0,001806	0,00693	0,003375	0,002885	0,001259	0,002671	0,000543	0,002238	0,00298	0,000545	0,005647	0,003519	0,000477	0	0,004493	0,001761	0,000738	0,001537	0,004507	0,00249	0,001471	0,001847	0,002885	0,002609	0
Allomyces	0,00056	0,000643	0,00188	0,002405	0,001734	0	0,000589	0,001199	0,000988	0,000819	0,001116	0,00183	0,001227	0	0,001279	0,001091	0,002208	0,002033	0,000537	0,000452	0,000996	0,000566	0,001476	0,001233	0,001168	0,001488	0,001438	0,001105	0,001971	0,001189	0,000801	0	0,002384	0,002402	0,000608	0,001716	0,00116	0,001718	0,00168	0,001096	0,000582	0,001056	0,00125	0,001145	0,001613	0,001528	0,001567	0,00159	0,00073	0,001013
