ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Acrospermales	801	0	1908	1339	0	5231	1300	0	0	2765	0	0	0	1149	1759	0	0	0	0	0	0	3028	865	1421	0	0	2831	0	0	0	0	0	0	0	0	0	0	0	0	0	2036	0	0	0	0	0	0	0	1134	0
Agaricales	2236	13727	13678	29063	2054	17317	9114	7711	16815	12430	1967	11878	2086	7555	15450	5265	86472	1811	977	1486	5494	14144	6398	16373	1184	4569	18499	5634	1271	4573	4064	5721	4584	1279	4687	3405	1720	4234	3815	2250	10238	2575	4138	6863	10230	17122	1003	1709	4551	7395
Aulographales	1695	9009	7470	7502	822	25478	5748	3304	5081	6604	814	6277	1134	4474	8946	1191	0	750	329	618	2100	15854	4130	5119	279	3730	13900	13854	570	1266	3019	4232	1635	447	2478	0	799	1616	0	957	7933	3147	2106	6689	3880	4571	494	686	5871	2325
Auriculariales	0	0	0	0	0	0	0	0	0	0	0	11525	0	0	0	0	0	0	0	0	0	0	0	8529	0	360	3556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boletales	248	0	2068	1350	0	2873	1105	0	1027	1061	0	1665	0	0	2763	1160	1724	299	0	0	0	1943	0	2968	0	0	2682	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	1209	0	3140	0	0	0	0
Botryosphaeriales	4057	14325	17672	11418	1704	48699	11135	7318	8665	20257	2008	11189	1899	9348	15648	2217	976	1114	719	1440	4002	62188	7626	10196	461	4598	28679	13381	1231	2614	7072	6749	4645	1171	3398	1689	1732	4092	2771	1354	17295	4977	3437	7011	10826	11035	979	1118	9064	6939
Caliciales	0	0	0	0	0	0	0	0	0	1572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cantharellales	1681	23734	7864	9389	2040	10917	10217	10090	9820	15629	1953	12437	2875	16099	9554	10323	13508	2321	1243	1915	4368	17984	6761	18572	1404	5085	22227	4107	1799	3337	2226	14004	10830	3514	5242	4242	1507	7176	21989	3737	19874	2336	7192	9535	12274	75974	1059	1967	10763	22552
Capnodiales	724	6023	5335	1842	668	21235	5087	0	1536	3466	0	2125	575	2893	2849	2334	0	865	0	343	0	14231	1985	1713	538	1487	9989	21211	774	0	2780	5760	1418	332	3726	0	557	757	0	814	5218	1335	1227	5359	1785	0	284	321	2129	3013
Ceraceosorales	0	4741	0	0	0	0	0	0	0	0	0	0	0	0	0	1228	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
