ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Acrospermales	0,016992	0	0,006001	0,006488	0	0,011399	0,007412	0	0	0,044083	0	0	0	0,007037	0,008443	0	0	0	0	0	0	0,008964	0,005753	0,012423	0	0	0,009246	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00626	0	0	0	0	0	0	0	0,009632	0
Agaricales	0,052833	0,038621	0,042782	0,106965	0,043765	0,037802	0,05005	0,023402	0,13901	0,071239	0,013544	0,112567	0,03053	0,03495	0,066664	0,036907	0,269356	0,039417	0,019439	0,036717	0,017107	0,041676	0,039816	0,080829	0,024978	0,041111	0,06042	0,017509	0,031898	0,054461	0,022666	0,015228	0,024568	0,037015	0,014757	0,01746	0,045864	0,031794	0,019821	0,011063	0,031471	0,013476	0,02715	0,040282	0,032088	0,037915	0,026096	0,034247	0,024369	0,024359
Aulographales	0,039535	0,02506	0,02347	0,044629	0,017748	0,055577	0,030733	0,009999	0,01962	0,039119	0,005851	0,018972	0,017552	0,023698	0,041998	0,007301	0	0,016331	0,006379	0,015464	0,006517	0,047328	0,026245	0,040918	0,005601	0,016789	0,045436	0,04293	0,014734	0,009228	0,013114	0,011256	0,013312	0,012968	0,007757	0	0,021286	0,016892	0	0,007777	0,024254	0,013945	0,015029	0,025763	0,012169	0,010478	0,011682	0,015998	0,05554	0,007603
Auriculariales	0	0	0	0	0	0	0	0	0	0	0	0,2628	0	0	0	0	0	0	0	0	0	0	0	0,028984	0	0,005628	0,011656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Boletales	0,005893	0	0,006444	0,006999	0	0,006262	0,005581	0	0,005881	0,00615	0	0,018319	0	0	0,010916	0,008128	0,006351	0,006507	0	0	0	0,005753	0	0,013817	0	0	0,008761	0	0	0	0	0	0	0	0	0	0,00735	0	0	0	0	0	0	0,007066	0	0,006866	0	0	0	0
Botryosphaeriales	0,094338	0,040259	0,055649	0,057558	0,036295	0,106224	0,066076	0,022125	0,037236	0,161709	0,01656	0,037434	0,029085	0,050559	0,079074	0,013178	0,006889	0,024693	0,014209	0,037162	0,012433	0,180365	0,04851	0,093647	0,009364	0,022508	0,093569	0,04149	0,031397	0,020076	0,030636	0,018003	0,026941	0,033786	0,010649	0,010804	0,046919	0,048721	0,011057	0,009073	0,053243	0,023285	0,026545	0,031437	0,033957	0,025396	0,023575	0,025939	0,073465	0,022651
Caliciales	0	0	0	0	0	0	0	0	0	0,00829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cantharellales	0,04052	0,067591	0,024644	0,046026	0,040066	0,024012	0,067415	0,03177	0,062374	0,207873	0,009742	0,04526	0,042981	0,055912	0,098403	0,081608	0,234658	0,050681	0,024983	0,044226	0,013626	0,053272	0,092154	0,156119	0,029536	0,046901	0,072648	0,012804	0,046905	0,022977	0,025048	0,037531	0,058237	0,101351	0,016518	0,023796	0,04145	0,033459	0,073094	0,01423	0,059217	0,015218	0,032946	0,111801	0,038492	0,214167	0,029894	0,036112	0,133317	0,074127
Capnodiales	0,016849	0,017562	0,016642	0,012702	0,012886	0,046355	0,028474	0	0,006426	0,025438	0	0,010745	0,008758	0,01148	0,014943	0,014544	0	0,019211	0	0,008349	0	0,043155	0,013244	0,015248	0,010433	0,011882	0,032675	0,065698	0,020254	0	0,011337	0,01528	0,011249	0,009729	0,011638	0	0,015111	0,007183	0	0,007317	0,01587	0,006424	0,006681	0,026429	0,005599	0	0,006758	0,006663	0,011762	0,009858
Ceraceosorales	0	0,014703	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007539	0	0	0	0	0	0	0	0	0	0	0	0	0,005572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chaetothyriales	0,157366	0,08432	0,110893	0,091042	0,067193	0,164217	0,16462	0,046303	0,057865	0,171477	0,035403	0,068029	0,042371	0,075225	0,133583	0,030374	0,031942	0,054239	0,027673	0,063753	0,063535	0,153423	0,104538	0,182829	0,012979	0,074393	0,141277	0,067313	0,084007	0,034513	0,0594	0,035191	0,063272	0,050562	0,04081	0,019708	0,07551	0,066234	0,018878	0,032497	0,105959	0,037434	0,053934	0,070443	0,050584	0,05342	0,050218	0,051653	0,089675	0,037588
Chytridiales	0,006001	0	0,012364	0,044533	0,009171	0	0,007238	0,011885	0,007475	0,013294	0,008007	0,024325	0,013572	0	0	0,023007	0,014499	0	0	0,011924	0	0	0,040925	0,008068	0	0,013959	0,011582	0,014836	0,011541	0,012721	0,010961	0	0,050297	0,027551	0	0	0,02562	0,00891	0	0,009204	0,022387	0	0,006673	0	0,006906	0,02015	0,013079	0	0,024995	0,020048
Cladosporiales	0,03039	0,034857	0,024766	0,021918	0,033753	0,053826	0,078452	0,00705	0,009178	0,063411	0,00816	0,015558	0,024566	0,024081	0,033214	0,044248	0	0,044977	0,012313	0,019949	0,006692	0,149772	0,020962	0,026087	0,039453	0,040889	0,085159	0,301344	0,03405	0,010222	0,034623	0,056497	0,035315	0,018557	0,033192	0,010121	0,041055	0,017368	0	0,032709	0,021825	0,020219	0,009109	0,062433	0,007517	0,00679	0,007776	0,015419	0,017255	0,027219
Coniochaetales	0,107651	0,059314	0,037694	0,081383	0,084784	0,197161	0,111425	0,040362	0,043724	0,225973	0,026777	0,014931	0,018524	0,03758	0,143862	0	0	0,01599	0,010542	0,105098	0,007065	0,053528	0,049199	0,083043	0,007048	0,031288	0,099963	0,009303	0,031625	0,018817	0,040319	0	0,03236	0,043222	0,007958	0,01002	0,072844	0,04537	0,009429	0	0,074161	0,019317	0,015303	0,014422	0,101573	0,051403	0,025444	0,021219	0,03059	0,01782
Dacrymycetales	0,006842	0,008968	0,006464	0,007591	0,010252	0	0,010686	0	0,009016	0,011127	0	0,009226	0,008414	0,009805	0,007901	0,007186	0	0,01365	0,011314	0,01076	0	0,007741	0,007961	0,006334	0,008067	0,010059	0,007071	0	0,00914	0	0	0	0,007111	0,010046	0	0	0,009098	0,006741	0	0	0	0,006415	0	0,012254	0,009683	0	0,0065	0,007079	0	0,010507
Diaporthales	0,727353	0,890483	0,883219	0,702394	0,282562	0,950001	3,796742	0,283914	1,706467	9,873416	1,041285	0,292704	0,174378	0,480206	0,245308	0,05006	0,012036	0,247561	0,05748	1,3547	0,022781	0,919008	1,06943	0,985203	0,012408	0,708847	3,083516	0,029224	0,767972	0,107057	1,111995	0,016204	1,178594	1,679724	0,058157	0,232302	1,708641	0,299212	0,021373	0,01757	0,35024	0,079356	0,116789	0,389377	1,636001	0,631968	0,090165	0,040357	0,048345	0,700668
Diversisporales	0,009473	0,012755	0,017818	0,011344	0,021382	0,013317	0,013557	0,007153	0,007456	0,011985	0	0,007461	0,013792	0,011416	0,034836	0,008174	0	0,029096	0,014944	0,010241	0,007441	0,009191	0,008956	0,008969	0,014898	0,019369	0,008451	0,010521	0,014042	0,01077	0,007071	0,006454	0,009554	0,010576	0,007774	0,007791	0,017048	0,013368	0,00926	0,00811	0	0,007692	0,008367	0,04759	0,013694	0	0,010986	0,0159	0	0,014705
Dothideales	0,457724	0,137292	0,253201	0,28776	0,104969	0,080584	0,573322	0,042784	0,031194	0,747182	0,054265	1,121547	0,060336	0,063531	0,144695	0,236995	0,00894	0,659779	0,651003	0,08223	0,019714	0,479255	0,068687	0,455359	0,01877	0,289808	1,228857	0,090754	0,138395	0,075072	0,513524	0,260903	0,191224	0,185343	0,053474	0,128348	0,659545	0,179779	0,038364	0,018461	0,047663	0,203741	0,031225	0,314313	0,059219	0,089752	0,08277	0,02489	0,040148	0,098692
Endogonales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,005962	0	0	0,010624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entylomatales	0	0,016372	0	0	0	0	0	0	0	0	0	0	0	0	0	0,013349	0	0,012444	0	0	0	0	0	0	0,019423	0	0	0,955883	0	0	0	0,089573	0	0	0	0	0	0	0	0,01335	0	0	0	0,005511	0	0	0	0	0	0,023182
Eremomycetales	0,010161	0	0,005999	0,009171	0	0,014989	0,006212	0	0	0,008216	0	0	0	0,007092	0,01137	0	0	0	0	0	0	0,009077	0,008366	0,010544	0	0	0,008953	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007545	0	0	0	0	0	0	0	0,016579	0
Erysiphales	0,217414	0,072536	0,063976	0,104097	0,069188	0,053215	0,100088	0,059042	0,041043	0,122817	0,021835	0,040264	0,047453	0,073867	0,191068	0,011246	0,013316	0,033842	0,027594	0,068449	0,028453	0,083297	0,086191	0,058768	0,015898	0,029812	0,067285	0,034516	0,030366	0,059614	0,023825	0,015608	0,026451	0,042941	0,006647	0,019785	0,070134	0,076165	0,031106	0,024154	0,093322	0,009733	0,06015	0,031421	0,053955	0,052036	0,036764	0,075647	0,06357	0,02966
Eurotiales	0,43826	0,168994	0,277133	0,252628	0,173339	0,472627	0,259798	0,119861	0,144512	0,39381	0,063371	0,123388	0,118268	0,205732	0,404655	0,055582	0,036694	0,098308	0,058434	0,180476	0,063064	0,534012	0,230407	0,338292	0,043497	0,100447	0,347179	0,419644	0,113044	0,113064	0,125719	0,059027	0,189982	0,126932	0,041867	0,048124	0,243504	0,210068	0,057798	0,041069	0,263619	0,069952	0,122259	0,117982	0,147607	0,178156	0,10374	0,133151	0,195211	0,204742
Exobasidiales	0,029019	0,208652	0	0,029723	0	0	0,019216	0,005718	0,021006	0,010885	0,007415	0,011781	0,00964	0,005708	0	0,115928	0	0,01875	0	0	0	0,025928	0,007716	0	0	0,018684	0,015999	0	0,03949	0	0,005943	0	0	0,007367	0	0	0	0,009404	0	0	0,007895	0	0,016885	0,007232	0	0,008778	0,005693	0	0	0,017344
Filobasidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgefischeriales	0	0,00675	0	0	0	0	0	0	0	0	0	0	0	0	0	0,005847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glomerales	0,036524	0,068823	0,101208	0,032118	0,149475	0,009982	0,072388	0,031741	0,025494	0,037268	0,006831	0,029375	0,129183	0,050379	0,02282	0,027881	0,006636	0,154134	0,067151	0,039621	0,043055	0,049314	0,020898	0,035415	0,157547	0,108244	0,030054	0,023722	0,101218	0,072281	0,032648	0,031209	0,043395	0,026532	0,057011	0,051324	0,113117	0,09029	0,068474	0,040762	0,011913	0,034559	0,064305	0,097229	0,099112	0,013128	0,107615	0,13284	0,007801	0,077022
Glomerellales	0,249638	0,125176	0,144463	0,150789	0,131741	0,595357	0,353423	0,074058	0,126213	0,598747	0,073461	0,047315	0,060273	0,12039	0,307289	0,077913	0,013512	0,088206	0,029324	0,175026	0,022231	0,480656	0,130439	0,227903	0,024383	0,069751	0,279201	0,110916	0,302918	0,069055	0,108431	0,027564	0,089565	0,116783	0,027027	0,02913	0,183099	0,119036	0,029385	0,026724	0,147345	0,078265	0,048581	0,05132	0,177495	0,093477	0,065563	0,054068	0,07711	0,062984
Harpellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,005672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Helotiales	13,954663	3,356709	4,252756	6,373102	3,947669	1,452655	3,359985	3,187507	2,184506	0,710936	0,331264	1,962121	2,280143	3,258115	11,547359	0,160652	0,829431	2,097159	1,361933	3,540614	1,706958	6,650683	5,290705	2,668101	0,490797	0,892778	3,505546	0,203137	1,298304	3,629549	0,622146	0,583142	0,878163	1,453771	0,179346	0,992496	4,422574	3,675435	1,763523	0,112196	5,410099	0,194149	2,994923	3,311395	2,201551	2,787378	2,08486	4,942658	3,92781	1,562691
Hymenochaetales	0	0	0	0	0	0	0	0	0	0	0	0,013798	0	0	0	0	0	0	0	0	0	0	0	0,010668	0	0	0,005932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypocreales	0,542557	0,252304	0,286418	0,309657	0,241565	7,563465	0,505071	0,173367	0,246896	0,975229	0,122875	0,107024	0,127302	0,231359	1,323269	0,064702	0,041208	0,270612	0,071689	0,341521	0,066082	0,572118	0,261813	0,497608	0,076913	0,144497	0,509189	0,668385	0,160443	0,159239	0,203635	0,0681	0,174697	0,213668	0,063753	0,079521	0,315736	0,246193	0,11212	0,059955	0,327483	0,141434	0,109947	0,123837	0,573956	0,238546	0,191954	0,117724	0,245633	0,237972
Lecanorales	0,024144	0,012817	0,014418	0,014545	0,012284	0,031672	0,017607	0,00727	0,009205	0,025259	0	0,007865	0,009257	0,014627	0,02079	0	0	0,006246	0	0,010468	0	0,040092	0,014766	0,020679	0	0	0,020735	0	0,008621	0	0,010048	0	0,006665	0,010828	0	0	0,010808	0,011911	0	0	0,020608	0	0,006978	0,008248	0,008229	0,006868	0,006609	0,007021	0,014082	0
Leucosporidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lineolatales	0,008765	0	0	0,00583	0	0,01131	0	0	0	0,007427	0	0	0	0	0,007237	0	0	0	0	0	0	0,007672	0	0,010799	0	0	0,007442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,010127	0
Magnaporthales	0,059672	0,03513	0,028573	0,041983	0,038552	0,09342	0,078488	0,020098	0,033675	0,179831	0,020163	0,011234	0,01277	0,025739	0,067746	0	0	0,01004	0,00572	0,057609	0	0,036968	0,032166	0,057278	0,006729	0,018807	0,070727	0,010085	0,019477	0,01228	0,027715	0	0,023901	0,033244	0,006699	0,007906	0,046214	0,024182	0,007205	0	0,041759	0,026624	0,010252	0,010873	0,052912	0,027264	0,013922	0,011753	0,016491	0,013683
Microascales	0,034778	0,019477	0,020703	0,023418	0,021004	0,092206	0,040875	0,011073	0,016683	0,085023	0,011417	0,008335	0,009449	0,016693	0,044689	0	0	0,007767	0	0,027204	0	0,026258	0,018361	0,039115	0	0,010139	0,036071	0,009393	0,01051	0,007293	0,016155	0	0,012795	0,018028	0,00572	0	0,022817	0,019288	0	0	0,022862	0,012675	0,008514	0,007499	0,025649	0,01526	0,010496	0,007278	0,011524	0,00839
Microbotryales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,005818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microstromatales	0,083469	0,097493	0	0,017342	0,005546	0	0,008113	0,06601	0,108561	0,12975	0,022141	0,116224	0	0,006245	0	0,03227	0	0,024592	0	0,005701	0	0,012627	0	0	0	0,011477	0,008599	0	0,158812	0	0,100193	0,009526	0,005696	0,034292	0	0,016156	0,03616	0,018867	0,006795	0	0	0,006146	0,062327	0,046709	0,144085	0,165356	0,0144	0	0	0,225586
Microthyriales	0,02596	0,008426	0,015577	0,099249	0,032455	0,082211	0,012018	0,007582	0,044947	0,016714	0,008555	0,072402	0,024746	0,05725	0,119022	0	0,005606	0	0,008135	0,022435	0	0,014434	0,033436	0,05181	0	0	0,018963	0	0,005821	0,005975	0,01294	0	0,005649	0	0	0	0,005691	0	0	0,013659	0,040011	0,038204	0,037795	0,007163	0,014496	0,010788	0,012708	0,02929	0,085976	0
Mixiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,006213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00633	0	0	0	0	0	0
