species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Aaosphaeria arxii	660	1693	1782	1027	189	6923	1143	627	843	1590	276	786	1446	1546	543	1152	322	350	207	167	1756	2827	828	1236	93	459	2724	3330	283	628	1144	1149	404	122	635	161	909	776	809	1452	1613	517	1100	1157	914	111	108	642	815	341
Absidia glauca	73	222	258	206	43	422	129	156	0	266	0	0	0	443	213	0	139	26	0	63	0	0	0	0	0	192	0	0	29	0	0	0	137	39	0	19	166	0	0	0	47	0	0	212	386	36	15	132	156	0
Absidia repens	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthothecis fontana	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces ingoldii	523	32526	674	3973	0	662	946	891	2473	1047	487	381	800	457	7441	651	0	457	0	93	696	4047	581	179	99	2713	2491	683	771	311	235	354	253	124	125	24	1056	0	0	1223	149	2275	828	762	1945	120	100	2516	133	231
Acephala macrosclerotiorum	21040	42364	51308	57721	5657	22008	36156	38618	17595	3222	3054	4873	9155	82151	781	36175	3172	1634	2488	4568	17393	46556	28889	17250	717	5327	31689	877	1761	13316	3872	6267	3353	1690	1909	6232	17628	16039	100	60990	889	8402	4824	24929	42114	3332	5915	2499	33464	7141
Acremonium chrysogenum	358	1978	1525	1192	221	28201	1541	1053	987	4600	303	140	875	2532	689	742	22	145	88	304	271	3167	808	984	54	767	3430	5939	130	287	1041	756	756	182	275	218	406	256	532	2193	508	243	502	2724	1863	159	91	2708	670	262
Actinomortierella ambigua	0	0	142	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	20	13	0	19	0	12	0	0	0	0	0	0	0	0	0	0	0	0
Agaricus bisporus	31	0	0	222	0	0	0	0	29	127	0	0	0	199	47	168	317	19	0	0	0	0	0	210	0	0	214	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	128	0	225	0	0	0	0	0
Agrocybe aegerita	15	0	0	0	0	0	0	0	0	0	0	0	0	120	0	31	125	0	0	0	0	0	0	247	0	0	135	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrocybe pediades	15	0	0	177	0	0	0	0	21	0	0	0	0	131	0	30	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
