species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Aaosphaeria arxii	0,01548	0,004794	0,005581	0,005974	0,004078	0,015108	0,006554	0,001916	0,003468	0,01066	0,00166	0,012219	0,007789	0,0081	0,003736	0,003208	0,001759	0,007739	0,004029	0,004293	0,00553	0,008376	0,004899	0,009435	0,002078	0,002303	0,008898	0,010338	0,007277	0,003887	0,004962	0,00306	0,00268	0,003549	0,001989	0,004386	0,007775	0,002879	0,003945	0,004455	0,00655	0,004062	0,00517	0,00363	0,002094	0,002627	0,002452	0,002099	0,006537	0,001875
Absidia glauca	0,001787	0,000578	0,000803	0,00127	0,000918	0,000918	0,000411	0,000433	0	0,00082	0	0	0	0,001917	0,001303	0	0,000421	0,00052	0	0,001716	0	0	0	0	0	0,002342	0	0	0,000656	0	0	0	0,000403	0,001127	0	0,000563	0,000907	0	0	0	0,000449	0	0	0,000664	0,000926	0,000945	0,000474	0,000438	0,000947	0
Absidia repens	0	0	0	0,000405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthothecis fontana	0	0	0,000946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00104	0	0	0	0	0	0	0	0	0	0	0	0	0
Acaromyces ingoldii	0,013128	0,101063	0,002116	0,013894	0	0,001436	0,009349	0,002812	0,009806	0,005335	0,003372	0,005867	0,003446	0,002128	0,040973	0,005637	0	0,009359	0	0,002347	0,002118	0,012228	0,003621	0,001151	0,002231	0,009011	0,008152	0,002114	0,019596	0,00171	0,002613	0,000952	0,001105	0,003569	0,000396	0,000711	0,00374	0	0	0,003452	0,000441	0,008456	0,003633	0,002389	0,003886	0,002837	0,001535	0,008243	0,000436	0,000743
Acephala macrosclerotiorum	0,516052	0,110639	0,160906	0,228265	0,140378	0,048061	0,122466	0,114695	0,062397	0,018037	0,011216	0,070523	0,086833	0,425965	0,005555	0,069748	0,028648	0,036667	0,049247	0,115529	0,054527	0,134383	0,190452	0,07503	0,018283	0,024857	0,103302	0,002732	0,043431	0,130885	0,019588	0,016856	0,028751	0,048851	0,005957	0,157372	0,123681	0,063479	0,002254	0,19014	0,00351	0,098364	0,01569	0,078154	0,098545	0,076627	0,143809	0,008131	0,142799	0,029483
Acremonium chrysogenum	0,008765	0,005629	0,004808	0,006778	0,004917	0,061536	0,012051	0,003177	0,004272	0,025729	0,003259	0,002092	0,005013	0,015716	0,002868	0,002057	0,000411	0,003126	0,001792	0,00797	0,000846	0,009372	0,004879	0,011579	0,001168	0,00294	0,011172	0,018446	0,003168	0,002162	0,004815	0,002009	0,003176	0,005179	0,000871	0,006125	0,004254	0,000735	0,001994	0,006756	0,002539	0,001952	0,002017	0,008543	0,004262	0,003799	0,002159	0,008798	0,004245	0,001433
Actinomortierella ambigua	0	0	0,000452	0,000436	0,000463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000384	0	0	0	0,000386	0,000387	0	0,000466	0	0,000406	0	0	0	0	0	0	0	0	0	0	0	0
Agaricus bisporus	0,000828	0	0	0,000704	0	0	0	0	0,000782	0,000392	0	0	0	0,000644	0,00108	0,003907	0,00096	0,00038	0	0	0	0	0	0,001027	0	0	0,000702	0	0	0	0	0	0	0,000393	0	0	0	0	0	0	0	0	0,0004	0	0,00045	0	0	0	0	0
Agrocybe aegerita	0,000401	0	0	0	0	0	0	0	0	0	0	0	0	0,000388	0	0,000721	0,000379	0	0	0	0	0	0	0,0008	0	0	0,000443	0	0	0,027083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
