"qbr"	"ihf"	"shadow"	"COD"	"DIN"	"P.PO4"	"ph"	"cond"	"mean_light"	"Artificial.500m."	"Agriculture.500m."	"Pasture.500m."	"Natural.500m."	"LUI_500m"	"mean.Depth"	"mean.Velocity"	"Width"	"Discharge"	"N.NH4"	"N.NO2"	"N.NO3"	"Tmean"	"Tmax"	"Tmin"	"TCV"	"DOmean"	"Domax"	"DOmin"	"DOCV"	"Artificial.100m."	"Agriculture.100m."	"Pasture.100m."	"Natural.100m."	"LUI_100m"	"Artificial_subasin"	"Agriculture_subasin"	"Pasture_subasin"	"Natural_subasin"	"LUI_subasin"
"bacteria"	-0.175701981837178	0.0397552645434829	0.0445945983054759	-0.0831307840325382	0.137423416329909	0.132406422631916	0.0426407167111898	0.114613420564266	-0.0270049461521911	0.221939439223255	0.0832680570414533	-0.200702092473581	-0.169952801012304	0.197947047834485	-0.117695146730227	-0.0458641843021092	-0.179206036343791	-0.156301355002076	0.0357928067102027	0.193887779567216	0.132353660992543	-0.0344689600809007	-0.0623210475009697	-0.0122951480525724	-0.0123141763185218	0.0546176493356653	-0.0400933255994429	0.0454575882745401	-0.107079176390044	0.199813594260811	0.0552570355706839	-0.252484028126471	-0.119284703891431	0.168228506506156	0.146865012020191	0.168202268343028	-0.0683011496107307	-0.152902796923453	0.164062805457913
"fungi"	0.288588884879241	-0.0671418858252131	-0.0496836512099114	-0.13562541613074	-0.271796993707619	-0.233557212615877	-0.183833339410612	-0.234330369516503	0.140049187019008	-0.400858964769187	-0.202152095503166	0.133910843994539	0.304850559721986	-0.366501590313614	0.0212678954393714	-0.154918240954508	0.0477176711836641	-0.0368550492155285	-0.146783177907611	-0.168537934816049	-0.275113230432953	-0.147844952374218	-0.0804270859921429	-0.187859469642133	0.0792273167104499	0.0612880628850173	0.0384542000403994	0.0967797885643516	-0.0792859818919133	-0.319963265585621	-0.123771670168805	0.181174363102031	0.23520090651658	-0.304089823126738	-0.334286220078489	-0.271168144249683	0.0347781328202109	0.11497769752517	-0.307766251521147
"shannon_bact"	0.0672268907563025	0.0620922415499726	0.0975634255592826	-0.239045721866879	-0.04006546649225	-0.0124080345150309	-0.0319674815877438	-0.030278323649528	-0.0834357572857351	-0.00953256705165882	-0.0197783912412947	-0.238833519675151	-0.00164138568463265	-0.0305043781464517	-0.103758204562822	-0.0769548799653682	-0.175024323885243	-0.184867462221335	-0.190235277640532	0.0145583944068224	-0.0432518014813882	-0.125514235750418	-0.102459876883794	-0.121262602188726	0.0193429485824666	0.202664563745505	0.0759792321842845	0.194974748491475	-0.200147611272614	-0.0144250904084972	-0.0245486564772886	-0.276190476190476	0.0115676722546227	-0.0351762905072377	-0.0654331101744955	0.0132519093863417	-0.0371310744361711	0.0066093135081856	-0.059335173723884
"simpson_bact"	0.139495798319328	0.0786501726299653	0.109338321747472	-0.243598973711962	-0.0776779452400765	-0.0554225541671381	-0.0762301484015428	-0.0613749803706648	-0.130879619271741	-0.0528624172864716	-0.0510941773733445	-0.226095731959143	0.0147724711616938	-0.0453443458933741	-0.0629085177270655	-0.0998776101678183	-0.156946694188175	-0.170143505053264	-0.174527777651865	0.00545939790255842	-0.0839593793462242	-0.10254431025361	-0.0762301484015428	-0.095043661174947	-0.00351689974226665	0.167922067103419	0.0709696124798261	0.158623524196454	-0.170560573084488	-0.0543714946166432	-0.0543577393425677	-0.228571428571429	0.0400419424198478	-0.0694946227094208	-0.0754997425090333	-0.0530076375453667	-0.0754599254670573	0.0181756121475104	-0.0939473583961496
"J_bact"	0.0672268907563025	0.0620922415499726	0.0975634255592826	-0.239045721866879	-0.04006546649225	-0.0124080345150309	-0.0319674815877438	-0.030278323649528	-0.0834357572857351	-0.00953256705165882	-0.0197783912412947	-0.238833519675151	-0.00164138568463265	-0.0305043781464517	-0.103758204562822	-0.0769548799653682	-0.175024323885243	-0.184867462221335	-0.190235277640532	0.0145583944068224	-0.0432518014813882	-0.125514235750418	-0.102459876883794	-0.121262602188726	0.0193429485824666	0.202664563745505	0.0759792321842845	0.194974748491475	-0.200147611272614	-0.0144250904084972	-0.0245486564772886	-0.276190476190476	0.0115676722546227	-0.0351762905072377	-0.0654331101744955	0.0132519093863417	-0.0371310744361711	0.0066093135081856	-0.059335173723884
"margalef_bact"	-0.194957983193277	0.0753385864139668	0.0605566089678305	-0.0569156480635425	0.175797455017015	0.129870761257324	0.0942630867330906	0.149754952104422	-0.0687118001176642	0.250446534357218	0.105484753286905	-0.184697921882117	-0.188759353732754	0.220126188246016	-0.0792483924613682	-0.0474827982765038	-0.13065196008335	-0.125971633549051	0.0453772221894848	0.181979930085281	0.177247578619807	-0.00902389930231765	-0.0352461976480252	0.00655473525344462	-0.0263767480669999	0.0289520805350722	-0.0442516407227151	0.0148709553934176	-0.0626549043983835	0.225253334840379	0.0771529203571928	-0.242857142857143	-0.168176158163361	0.208483868128262	0.204688190802268	0.218656504874638	-0.0682732658987662	-0.158623524196454	0.215914104384133
"Bray_Curtis_bact"	0.0285714285714286	-0.0620922415499726	-0.0336425605376836	0.125214425739794	0.0188062393739133	-0.00248160690300618	0.169673556119563	0.0400983205088343	-0.0163599524089677	-0.0667279693616117	0.0346121846722657	0.203804603456129	0.0213380139002244	-0.0568865430298693	0.175653653393754	0.019648054459243	0.260482209725924	0.197955424148509	0.0924997221554882	-0.0236573909110865	0.00084807453885075	0.0894186385411476	0.0647546421905579	0.106514447868475	-0.0861640436855329	-0.141451593471353	-0.0859984715932011	-0.161928180950547	0.207109267316879	-0.0477137605819522	0.110468954147799	0.214285714285714	-0.0934311989796449	0.0626309562689842	0.0268443528921007	0.0530076375453667	0.0562954999516142	0.0066093135081856	0.0181301919711868
"shannon_fung"	0.221848739495798	-0.0736827933059675	0.0706493771291356	-0.125214425739794	-0.108749123336107	-0.161304448695402	0.0254100494671809	-0.0859249725189307	-0.0114519666862774	-0.246980146338433	-0.164819927010789	-0.0764267262960484	0.218304296056142	-0.251455009045075	-0.0334967432053206	0.0409334467900895	0.0205427610193947	0.0130879619271741	-0.120424166579787	-0.0891701657417875	-0.121274659055657	-0.132077071606649	-0.0959024447632313	-0.152397594642587	0.0914393932989329	0.15634123488939	0.127745302463687	0.163580509327594	-0.113126910719303	-0.185306930632233	-0.145538463401068	0.0142857142857143	0.219785772837831	-0.278836449142738	-0.18119938202168	-0.163992378655978	-0.0874376914142093	0.0941827174916448	-0.184598318252084
"simpson_fung"	0.115966386554622	-0.171374586677924	-0.0437353286989887	-0.00910650369016681	-0.00899428839621938	-0.0835474324012082	0.0254100494671809	-0.0711949772299712	0.0392638857815224	-0.0909926854931069	-0.102188354746689	-0.117824536373075	0.121462540662816	-0.119544184627986	0.0155228809975876	0.111338975269043	0.0977835424523186	0.0556238381904901	-0.00349055555303729	-0.0636929755298482	-0.0178095653158657	-0.000820354482028877	0.0286887655274623	-0.0114707866935281	0.128366840592733	0.100091478421249	0.0459215139575346	0.107401344508016	-0.0261062101659931	-0.0543714946166432	-0.115729380535789	-0.0523809523809524	0.12724439480085	-0.170733702705861	-0.0654331101744955	-0.0712290129515865	-0.132953202013387	0.0710501202129952	-0.0840581627755023
"J_fung"	0.221848739495798	-0.0736827933059675	0.0706493771291356	-0.125214425739794	-0.108749123336107	-0.161304448695402	0.0254100494671809	-0.0859249725189307	-0.0114519666862774	-0.246980146338433	-0.164819927010789	-0.0764267262960484	0.218304296056142	-0.251455009045075	-0.0334967432053206	0.0409334467900895	0.0205427610193947	0.0130879619271741	-0.120424166579787	-0.0891701657417875	-0.121274659055657	-0.132077071606649	-0.0959024447632313	-0.152397594642587	0.0914393932989329	0.15634123488939	0.127745302463687	0.163580509327594	-0.113126910719303	-0.185306930632233	-0.145538463401068	0.0142857142857143	0.219785772837831	-0.278836449142738	-0.18119938202168	-0.163992378655978	-0.0874376914142093	0.0941827174916448	-0.184598318252084
