Code	ric_Inv	ric_Diat	ric_Bact_leaf	ric_Bact_sed	ric_Fung_leaf	ric_Fung_sed	H_Inv	H_Diat	H_Bact_leaf	H_Bact_sed	H_Fung_leaf	H_Fung_sed
AGR1	45	780	1465	7135	263	1771	2.56	6.66	6.34	10.98	3.98	6.82
AND1	55	732	1718	7773	281	3419	2.80	6.72	7.09	11.24	4.21	9.34
ARG1	18	656	1499	6296	236	2567	1.99	6.64	7.25	10.51	3.90	6.99
ARG2	39	666	1802	6896	249	NA	3.11	6.19	7.81	10.83	3.32	NA
ARG3	40	569	1726	6527	289	2164	2.55	5.68	7.30	10.61	4.16	5.66
AVE1	48	620	1755	6084	305	1202	2.78	6.33	7.45	9.96	4.13	4.77
AZE1	56	630	1252	6199	265	2208	2.86	6.24	6.17	10.34	3.09	6.25
AZE2	51	623	1386	5406	344	2563	2.31	6.23	6.65	10.10	3.98	7.84
BIL1	54	620	1387	7257	247	1894	3.27	6.50	6.24	10.99	3.81	4.61
CAB1	54	621	1367	7170	245	2919	2.96	6.45	6.30	11.16	4.05	8.23
CAN1	57	596	1320	7640	247	2965	2.70	6.27	6.31	11.18	3.61	7.94
CASM1	43	547	1488	7105	282	3276	2.96	6.26	6.10	10.97	3.40	8.57
CAV1	48	650	1633	7559	232	1987	2.89	6.70	6.41	11.20	2.64	7.17
CAV2	55	580	1642	7047	304	1923	2.91	6.01	6.43	11.03	3.58	6.88
CBR1	49	632	1459	7092	253	1787	2.93	6.27	5.95	11.00	2.24	5.24
COV1	25	582	1800	7419	273	2353	2.50	5.99	7.42	11.00	3.87	7.17
ERM1	42	513	1532	7621	253	1867	2.86	5.89	6.93	11.14	4.02	6.54
EST1	13	552	1695	6552	265	1058	0.96	5.69	7.93	10.29	3.35	4.89
EST2	44	553	1113	7477	295	3068	2.76	6.08	5.77	11.09	4.15	8.69
FER1	54	526	1178	6769	223	2917	2.89	5.67	6.40	11.01	3.98	8.54
FERRO1	46	515	1238	7469	223	2430	2.64	5.76	6.60	11.14	3.40	7.34
FOR1	41	569	876	6866	244	2880	3.05	6.01	4.99	10.84	4.18	8.60
GER1	39	552	2354	6846	279	2054	2.86	6.52	7.18	10.90	4.32	7.28
HOM1	23	559	2287	6779	242	1989	2.73	6.20	7.02	10.75	3.21	6.78
LAB1	19	645	2194	7117	309	1579	2.11	6.36	6.97	11.01	4.10	6.28
LAM1	45	639	1894	6516	300	2757	2.71	6.54	6.44	10.56	3.42	8.50
MACE1	28	632	2089	6711	271	3333	2.75	5.96	6.53	10.65	4.42	9.00
MACI1	19	576	2214	7633	216	1945	2.04	6.05	7.07	10.91	2.77	6.68
MOU1	39	520	1456	6945	294	2303	2.68	6.10	6.37	10.82	4.13	6.49
NES1	21	568	1256	6845	321	2153	1.24	5.76	5.56	10.57	4.07	6.91
OLI1	54	599	1135	6002	295	2151	2.93	6.48	6.00	10.61	3.38	5.35
PON1	20	567	1429	6294	294	1259	2.27	5.62	6.36	10.08	3.77	4.68
RAB1	32	760	1317	6793	228	2255	1.85	6.86	5.83	10.97	2.86	7.80
RAB2	76	735	2511	7161	243	3064	2.62	6.56	6.93	11.02	3.27	8.70
ROD1	23	726	2334	6844	253	1750	1.13	6.11	7.13	10.59	3.62	4.34
RPON1	26	677	2482	6522	224	1893	2.24	6.14	7.37	10.68	3.10	6.20
SAL1	44	664	2259	7340	181	2092	2.92	6.06	7.35	10.90	3.53	7.34
SAN1	26	649	2556	7766	205	2318	1.09	6.30	7.25	11.28	3.45	7.29
SEL1	19	681	2591	6642	232	1405	1.60	6.24	6.93	10.30	4.05	6.76
SOU1	21	627	1561	7234	207	2026	1.86	6.11	6.70	11.08	3.13	6.84
TAVE1	40	534	1538	6734	217	2299	2.76	5.50	6.85	10.85	3.70	7.49
TAVE2	10	566	1125	7279	176	2510	0.89	5.66	6.05	11.07	3.30	7.60
TOJ1	50	642	1273	6817	182	2729	2.78	6.62	6.28	10.78	3.66	7.70
VEI1	10	609	1330	7143	225	2585	1.88	5.83	6.83	10.86	3.71	7.87
VEZ1	43	643	1027	6816	206	2511	2.74	6.13	5.44	10.83	3.76	7.84
VEZ2	36	741	2290	7260	194	2311	2.10	6.51	7.25	11.03	3.63	6.79
VEZ3	34	698	2291	7038	217	1536	2.12	6.24	6.75	10.74	2.80	6.86
VIL1	51	708	2402	7023	158	2112	3.08	6.30	6.56	10.97	2.74	6.43
VILC1	43	526	2040	6878	133	1273	2.68	5.11	6.50	10.82	3.08	4.86
VIZ1	25	568	2544	7534	120	1033	1.93	5.77	7.28	11.26	3.23	5.91
