"qbr"	"ihf"	"shadow"	"COD"	"DIN"	"P.PO4"	"ph"	"cond"	"mean_light"	"Artificial.500m."	"Agriculture.500m."	"Pasture.500m."	"Natural.500m."	"LUI_500m"	"mean.Depth"	"mean.Velocity"	"Width"	"Discharge"	"N.NH4"	"N.NO2"	"N.NO3"	"Tmean"	"Tmax"	"Tmin"	"TCV"	"DOmean"	"Domax"	"DOmin"	"DOCV"	"Artificial.100m."	"Agriculture.100m."	"Pasture.100m."	"Natural.100m."	"LUI_100m"	"Artificial_subasin"	"Agriculture_subasin"	"Pasture_subasin"	"Natural_subasin"	"LUI_subasin"
"bacteria"	-0.267440411447586	0.0657933130281076	0.0375119614463882	-0.107634240062697	0.192436067254026	0.1689586857315	0.0580465442603984	0.158205659391608	-0.0352992029291407	0.302379854532796	0.101272004894764	-0.253651092731987	-0.263441155325065	0.281991137398603	-0.177059572169081	-0.0651281198414769	-0.259993303764945	-0.252905581802524	0.0582950570190609	0.258867917952265	0.194387161968144	-0.0569472827087049	-0.0811979173125391	-0.0209659218615341	-0.0148758527322162	0.086580345338622	-0.0498785988171364	0.0603206121523849	-0.127355364742444	0.269750371176298	0.0926386046709776	-0.302011961304428	-0.168979118457067	0.249867639196453	0.205169988281536	0.232577867543355	-0.0905227837701691	-0.198437958260429	0.225353859460251
"fungi"	0.404853360466345	-0.093610326959898	-0.0637035255357518	-0.178075984610721	-0.394616142082417	-0.342741989234673	-0.283762042581621	-0.343731990058569	0.206978531529246	-0.525001124339989	-0.279737675189241	0.160061764874568	0.436382906419017	-0.491440283949016	0.0289110337458786	-0.222411682959914	0.0522990487564831	-0.0567936218896237	-0.203458058566064	-0.224764334950608	-0.387704006591206	-0.241395055623882	-0.146360210536809	-0.296707259759065	0.101111880953585	0.0934833796659671	0.0877732166904574	0.16196021014961	-0.119351171815316	-0.398570022026875	-0.193824185311438	0.219199586143504	0.328983164099887	-0.411716641879325	-0.462726550417659	-0.388634043781238	0.0314929845013082	0.184820296057935	-0.434918514290029
"shannon_bact"	0.104632374454521	0.100670726787924	0.122097659649847	-0.310100009900085	-0.0593094177446348	-0.0176935980338708	-0.0575408277880215	-0.0575366816475949	-0.141241446569684	-0.00558497663066491	-0.0319292482024046	-0.294871269099622	-0.00451630020651969	-0.038662249475571	-0.143680368970893	-0.117669662610437	-0.260251300259342	-0.251842960153493	-0.259959517955885	0.0155579624087106	-0.0555585967824875	-0.182005966672911	-0.154755047690322	-0.169500485195265	0.0222888572885937	0.305836164250832	0.123971339948076	0.292031266629018	-0.284260282162783	-0.0155415164410903	-0.0312549652185832	-0.339565743876723	0.0294597920260723	-0.0656442957802651	-0.0905154148442533	0.0159615499907225	-0.0559294570192533	0.0142270135305302	-0.0961076655244292
"simpson_bact"	0.194138337500792	0.120766411504902	0.150236978211611	-0.318037622378903	-0.114200644045945	-0.0700531856938851	-0.103170031793548	-0.0941814964198111	-0.180381799835339	-0.0586422546219816	-0.0952107100011461	-0.274656072783481	0.0463641457371436	-0.0992523419372868	-0.093593930188593	-0.162912447173308	-0.226813067846474	-0.234409894833943	-0.245398278564951	-0.00862129127106895	-0.117602256255614	-0.158468641872245	-0.119644575976596	-0.153602309904919	-0.00912038580517947	0.228295495760327	0.0940737857314719	0.219936648468464	-0.210590222739643	-0.0783454802683319	-0.0769352989995895	-0.280774560464195	0.0655209421315655	-0.115485335168985	-0.10202855169778	-0.0711058205912004	-0.0971470351269203	0.0478239137259378	-0.154589179996044
"J_bact"	0.104632374454521	0.100670726787924	0.122097659649847	-0.310100009900085	-0.0593094177446348	-0.0176935980338708	-0.0575408277880215	-0.0575366816475949	-0.141241446569684	-0.00558497663066491	-0.0319292482024046	-0.294871269099622	-0.00451630020651969	-0.038662249475571	-0.143680368970893	-0.117669662610437	-0.260251300259342	-0.251842960153493	-0.259959517955885	0.0155579624087106	-0.0555585967824875	-0.182005966672911	-0.154755047690322	-0.169500485195265	0.0222888572885937	0.305836164250832	0.123971339948076	0.292031266629018	-0.284260282162783	-0.0155415164410903	-0.0312549652185832	-0.339565743876723	0.0294597920260723	-0.0656442957802651	-0.0905154148442533	0.0159615499907225	-0.0559294570192533	0.0142270135305302	-0.0961076655244292
"margalef_bact"	-0.281813715726955	0.0992284527651745	0.0523757521860235	-0.0813309099508724	0.250204102388297	0.198524093157208	0.134390013481539	0.196575657749254	-0.0952335221175392	0.337058238762935	0.13675720163801	-0.231838058539055	-0.283710135313817	0.30405647193288	-0.113666922912468	-0.0613803382923016	-0.198851787294335	-0.201800937941452	0.0674979190496173	0.242288013307627	0.256547144202061	-0.0301181686735063	-0.0589337192787165	0.0113352548897939	-0.0286780045638798	0.057590651488918	-0.0701942577259396	0.0208113131090133	-0.0880827081932981	0.303987422329087	0.151122908749194	-0.295239057970452	-0.225283660426804	0.304929910250402	0.291200469788989	0.312596379637583	-0.0815840557824325	-0.233015410797333	0.29923121661031
"Bray_Curtis_bact"	0.0303491693859798	-0.087930639586969	-0.0565195559468312	0.169947837326331	0.0255966960792634	-0.000913528159357458	0.239241121212133	0.0511490533845481	-0.0156561413062621	-0.0911722939444509	0.0626563409755017	0.257465197176053	0.0431450806963264	-0.0661201405832216	0.24836726882268	0.0427453060095058	0.346201009722875	0.283443392606009	0.144151399990525	-0.0375075717942482	0.0110342857721317	0.134835246358106	0.105955814774938	0.16503362627683	-0.0950080831470032	-0.206278368563395	-0.143854898549457	-0.22027309001988	0.266877459152829	-0.055613112936588	0.139543361195684	0.262343991061062	-0.125278011910204	0.0713334680812214	0.0590590200101408	0.0756250546247183	0.0642580826840768	0.0137463711815258	0.0402691118547358
"shannon_fung"	0.326518523965351	-0.0843730303308533	0.0989694526127803	-0.16236564033164	-0.188733612742036	-0.27655863013811	0.0476945258710395	-0.140143603545644	-0.0266538601993113	-0.325790303455453	-0.248894260083804	-0.0947885780020648	0.338482286754588	-0.366762408893259	-0.0598348060620764	0.0702175700965141	0.0327175808522451	0.0152719415196054	-0.170400590732043	-0.126346510007045	-0.186953710253266	-0.186185042708948	-0.13683958127552	-0.204899141355342	0.118565015467333	0.223776696728642	0.166290100264332	0.24156503391663	-0.161898841759379	-0.233122746616354	-0.197392033083768	0.0162142351078202	0.300657375811236	-0.374707365394609	-0.249146208395145	-0.238894403325	-0.107603411873998	0.138040482634064	-0.267179310157913
"simpson_fung"	0.161428677162569	-0.205908654647889	-0.0336804514977281	-0.0180669537764137	-0.0231955050774563	-0.130682607217556	0.0427953902830777	-0.119828064032345	0.0437027257322041	-0.119881033466992	-0.176091727284948	-0.148430476888204	0.189011968217537	-0.188406335130954	0.0364483288933515	0.15258633392382	0.130245758723108	0.0911033744109793	0.0232298033092839	-0.0730332375491703	-0.034748320984169	-0.00667691458631161	0.0412103758281489	-0.018203650861152	0.167483448422387	0.112537324820999	0.0391893866864985	0.126550086411159	-0.0377358202597048	-0.0910454507929542	-0.164763223240192	-0.0617074127484667	0.189123982588782	-0.249156571539317	-0.0887330463773893	-0.112403927344305	-0.169612157699692	0.102376820337937	-0.123786673195465
"J_fung"	0.326518523965351	-0.0843730303308533	0.0989694526127803	-0.16236564033164	-0.188733612742036	-0.27655863013811	0.0476945258710395	-0.140143603545644	-0.0266538601993113	-0.325790303455453	-0.248894260083804	-0.0947885780020648	0.338482286754588	-0.366762408893259	-0.0598348060620764	0.0702175700965141	0.0327175808522451	0.0152719415196054	-0.170400590732043	-0.126346510007045	-0.186953710253266	-0.186185042708948	-0.13683958127552	-0.204899141355342	0.118565015467333	0.223776696728642	0.166290100264332	0.24156503391663	-0.161898841759379	-0.233122746616354	-0.197392033083768	0.0162142351078202	0.300657375811236	-0.374707365394609	-0.249146208395145	-0.238894403325	-0.107603411873998	0.138040482634064	-0.267179310157913
