code	qbr	ihf	shadow	COD	DIN	P-PO4	ph	cond	mean_light	Artificial(500m)	Agriculture(500m)	Pasture(500m)	Natural(500m)	LUI_500m	mean Depth	mean Velocity	Width	Discharge	N-NH4	N-NO2	N-NO3	Tmean	Tmax	Tmin	TCV	DOmean	Domax	DOmin	DOCV	Artificial(100m)	Agriculture(100m)	Pasture(100m)	Natural(100m)	LUI_100m	Artificial_subasin	Agriculture_subasin	Pasture_subasin	Natural_subasin	LUI_subasin	Altitude
AGR1	70	60	95	2.5	1.606	0.68	6.14	111	8.980770847	0.24	0.404	0	0.356	2.41	9	0.096	2.8	0.024	0	0.006	1.6	19.6	22.6	17.3	0.09	7.9	8.5	7.4	0.04	0.05	0.73	0	0.22	2.44	0.17	0.26	0	0.55	1.66	163.33
AND1	80	51	80	2.5	1.006	0.57	6.33	53	3.854040401	0.0028	0.2584	0	0.6668	0.79	10.6	0.145	2	0.031	0	0.006	1	18.4	21.2	16.8	0.07	8.7	9	8.2	0.03	0	0	0	1	0	0.24	0.26	0	0.48	2	194
ARG1	70	36	0	2.5	0.303	0.03	5.19	36	393.4985125	0	0	0	1	0	18.5	0.083	2.1	0.032	0.1	0.003	0.2	12.2	13.9	11.6	0.04	9.4	9.9	9.1	0.03	0	0	0	1	0	0.01	0.05	0	0.94	0.19	610
ARG2	85	58	70	2.5	0.227	0.24	6.47	33	20.98384527	0	0	0	1	0	35	0.007	2.6	0.006	0.02	0.007	0.2	17.9	19.3	17.1	0.04	7.8	8.2	7.4	0.03	0	0	0	1	0	0.01	0.05	0	0.94	0.19	449.45001
ARG3	50	55	20	2.5	0.517	0.07	6.1	39	34.60674863	0.1044	0.118	0	0.7776	0.88	21.2	0.077	2.4	0.038	0.01	0.007	0.5	19.7	22.6	17.4	0.09	7.2	8.8	4.1	0.15	0.08	0.14	0	0.78	0.82	0.01	0.05	0	0.94	0.19	500
AVE1	75	60	20	2.5	0.216	0.04	6.01	20	6.579523919	0	0.1176	0	0.7544	0.35	13	0.047	2.2	0.013	0.01	0.006	0.2	19.2	21.8	17	0.07	8.3	8.7	8	0.02	0	0	0	1	0	0.02	0.08	0	0.82	0.33	630
AZE1	55	53	10	2.5	0.407	0	6.52	32	50.13646505	0.0828	0.5212	0	0.3388	1.98	33.2	0.211	6	0.42	0	0.007	0.4	21.1	23.2	19.7	0.05	8.1	8.6	7.8	0.03	0	0.14	0	0.54	0.42	0.03	0.11	0	0.79	0.5	109.68
AZE2	70	48	60	16.32	0.526	0.29	6.34	42	21.04899931	0.3824	0.2628	0	0.3548	2.7	35.8	0.193	7.8	0.538	0.02	0.006	0.5	21.3	22.7	20	0.04	8.6	9	8.4	0.02	0.31	0	0	0.69	1.55	0.03	0.11	0	0.79	0.5	49.81
BIL1	65	62	90	2.5	0.026	0.02	6.78	24	33.87118909	0	0.022	0	0.978	0.07	10.4	0.065	2	0.013	0	0.006	0.02	17.2	19.2	15.9	0.06	8.6	8.9	8.3	0.02	0	0	0	1	0	0	0.02	0	0.93	0.09	572.60999
CAB1	70	45	5	2.5	0.206	0.06	6.31	20	191.7600631	0	0.6376	0.0016	0.3608	1.91	22.4	0.047	12.6	0.147	0	0.006	0.2	20.7	23	19.3	0.05	8.3	9.2	7.7	0.06	0	1	0	0	3	0	0.01	0.01	0.65	0.04	279.98001
CAN1	75	66	70	2.5	0.317	0.1	6	100	11.71997425	0.2812	0.25	0	0.4688	2.16	24.4	0.081	5.3	0.105	0.01	0.007	0.3	19	20.2	18.1	0.02	8.5	8.8	8.4	0.01	0	0.08	0	0.92	0.24	0.08	0.14	0.01	0.75	0.8	370
CasM1	60	51	100	17.92	1.415	0.18	6.68	84	12.65310743	0.134	0.3112	0	0.5548	1.6	35.9	0.186	2.2	0.15	0.01	0.005	1.4	18.4	19.3	17.4	0.03	8.5	9	8.2	0.02	0	0.99	0	0.01	2.97	0.17	0.24	0	0.59	1.56	35.29
CAV1	60	59	50	6.57	0.247	0.22	6.61	84	7.030590794	0	0.2912	0.1524	0.5564	1.03	29.6	0.028	9	0.074	0.04	0.007	0.2	19.7	22.1	17.7	0.08	6.6	7.1	6.3	0.04	0	0.13	0.03	0.84	0.42	0.05	0.19	0.07	0.69	0.9	919.87
CAV2 	95	72	60	6.75	0.236	0.12	6.72	57	25.18996426	0	0.184	0.2416	0.5744	0.79	25.6	0.226	7	0.405	0.03	0.006	0.2	18.6	20.3	17.1	0.05	7.4	8.3	6.9	0.07	0	0	0.22	0.78	0.22	0.01	0.16	0.05	0.75	0.57	899.90002
CBR1	85	64	25	2.5	0.316	0.41	7.05	79	32.18665323	0.1092	0.2896	0	0.4976	1.41	48.8	0.091	11.4	0.503	0.01	0.006	0.3	22.8	25.1	21.1	0.05	8.2	9.4	7.5	0.05	0	0	0	0.63	0	0.01	0.09	0.01	0.85	0.34	112.61
